data,produto,categoria,regiao,canal_venda,quantidade,preco_unitario,desconto_percentual,receita_bruta,receita_liquida
2023-06-04,Mouse,Eletrônicos,Centro-Oeste,Marketplace,1,120,0.0,120,120.0
2023-11-15,Armário,Móveis,Centro-Oeste,Marketplace,2,1800,0.0,3600,3600.0
2023-10-02,Notebook,Eletrônicos,Nordeste,Loja Física,4,3500,0.0,14000,14000.0
2023-01-01,Curso Online,Educação,Norte,Loja Física,6,500,0.0,3000,3000.0
2023-04-06,Fone Bluetooth,Eletrônicos,Nordeste,Online,2,350,0.15,700,595.0
2023-09-27,Livro Técnico,Livros,Centro-Oeste,Online,1,200,0.1,200,180.0
2023-11-22,Mesa Escritório,Móveis,Sudeste,Loja Física,6,1400,0.05,8400,7980.0
2023-02-04,Cadeira Gamer,Móveis,Norte,Marketplace,4,950,0.0,3800,3800.0
2023-06-20,Teclado,Eletrônicos,Norte,Loja Física,1,250,0.05,250,237.5
2023-11-26,Teclado,Eletrônicos,Sul,Online,8,250,0.1,2000,1800.0
2023-02-02,Webcam,Eletrônicos,Nordeste,Online,8,420,0.0,3360,3360.0
2023-01-23,Monitor,Eletrônicos,Nordeste,Marketplace,1,1100,0.05,1100,1045.0
2023-07-23,Livro Técnico,Livros,Sudeste,Marketplace,8,200,0.05,1600,1520.0
2023-04-08,Smartphone,Eletrônicos,Nordeste,Loja Física,6,2800,0.0,16800,16800.0
2023-03-05,Cadeira Gamer,Móveis,Centro-Oeste,Loja Física,7,950,0.1,6650,5985.0
2023-06-23,Teclado,Eletrônicos,Nordeste,Marketplace,8,250,0.1,2000,1800.0
2023-05-17,Mouse,Eletrônicos,Centro-Oeste,Marketplace,7,120,0.0,840,840.0
2023-04-03,Livro Técnico,Livros,Sudeste,Online,5,200,0.05,1000,950.0
2023-06-17,Fone Bluetooth,Eletrônicos,Centro-Oeste,Marketplace,5,350,0.05,1750,1662.5
2023-08-07,Teclado,Eletrônicos,Centro-Oeste,Online,8,250,0.05,2000,1900.0
2023-06-30,Curso Online,Educação,Sudeste,Online,7,500,0.05,3500,3325.0
2023-12-10,Fone Bluetooth,Eletrônicos,Norte,Marketplace,7,350,0.05,2450,2327.5
2023-12-14,Teclado,Eletrônicos,Norte,Marketplace,1,250,0.0,250,250.0
2023-08-13,Notebook,Eletrônicos,Sul,Marketplace,3,3500,0.0,10500,10500.0
2023-07-07,Cadeira Gamer,Móveis,Sudeste,Marketplace,7,950,0.15,6650,5652.5
2023-03-20,Fone Bluetooth,Eletrônicos,Nordeste,Loja Física,8,350,0.05,2800,2660.0
2023-02-09,Curso Online,Educação,Nordeste,Loja Física,3,500,0.15,1500,1275.0
2023-06-10,Fone Bluetooth,Eletrônicos,Sudeste,Online,5,350,0.0,1750,1750.0
2023-04-06,Armário,Móveis,Sudeste,Loja Física,7,1800,0.15,12600,10710.0
2023-05-14,Webcam,Eletrônicos,Norte,Loja Física,8,420,0.0,3360,3360.0
2023-12-22,Armário,Móveis,Sul,Online,4,1800,0.0,7200,7200.0
2023-08-20,Teclado,Eletrônicos,Nordeste,Marketplace,8,250,0.0,2000,2000.0
2023-06-27,Webcam,Eletrônicos,Norte,Loja Física,2,420,0.15,840,714.0
2023-06-03,Teclado,Eletrônicos,Norte,Online,3,250,0.05,750,712.5
2023-03-04,Monitor,Eletrônicos,Centro-Oeste,Online,3,1100,0.0,3300,3300.0
2023-07-04,Livro Técnico,Livros,Norte,Online,6,200,0.1,1200,1080.0
2023-11-10,Mouse,Eletrônicos,Centro-Oeste,Marketplace,2,120,0.05,240,228.0
2023-09-03,Livro Técnico,Livros,Norte,Online,7,200,0.1,1400,1260.0
2023-03-06,Cadeira Gamer,Móveis,Centro-Oeste,Marketplace,2,950,0.1,1900,1710.0
2023-09-22,Cadeira Gamer,Móveis,Norte,Online,3,950,0.15,2850,2422.5
2023-03-08,Mesa Escritório,Móveis,Norte,Online,1,1400,0.0,1400,1400.0
2023-06-05,Teclado,Eletrônicos,Sul,Loja Física,3,250,0.05,750,712.5
2023-09-23,Smartphone,Eletrônicos,Sul,Marketplace,2,2800,0.05,5600,5320.0
2023-10-10,Smartphone,Eletrônicos,Norte,Marketplace,3,2800,0.05,8400,7980.0
2023-02-17,Livro Técnico,Livros,Norte,Online,3,200,0.15,600,510.0
2023-03-29,Fone Bluetooth,Eletrônicos,Sudeste,Online,6,350,0.15,2100,1785.0
2023-02-11,Notebook,Eletrônicos,Norte,Loja Física,5,3500,0.0,17500,17500.0
2023-11-13,Fone Bluetooth,Eletrônicos,Norte,Loja Física,1,350,0.1,350,315.0
2023-11-25,Smartphone,Eletrônicos,Centro-Oeste,Loja Física,8,2800,0.0,22400,22400.0
2023-08-21,Mouse,Eletrônicos,Centro-Oeste,Loja Física,1,120,0.0,120,120.0
2023-09-05,Armário,Móveis,Norte,Online,4,1800,0.05,7200,6840.0
2023-06-10,Webcam,Eletrônicos,Centro-Oeste,Online,6,420,0.05,2520,2394.0
2023-07-09,Livro Técnico,Livros,Sul,Loja Física,2,200,0.05,400,380.0
2023-03-04,Smartphone,Eletrônicos,Sul,Online,8,2800,0.0,22400,22400.0
2023-01-26,Smartphone,Eletrônicos,Centro-Oeste,Online,7,2800,0.15,19600,16660.0
2023-03-23,Cadeira Gamer,Móveis,Sul,Loja Física,6,950,0.0,5700,5700.0
2023-09-21,Armário,Móveis,Centro-Oeste,Online,8,1800,0.05,14400,13680.0
2023-02-16,Mesa Escritório,Móveis,Sul,Marketplace,8,1400,0.0,11200,11200.0
2023-06-30,Notebook,Eletrônicos,Centro-Oeste,Marketplace,1,3500,0.05,3500,3325.0
2023-12-01,Fone Bluetooth,Eletrônicos,Norte,Online,8,350,0.05,2800,2660.0
2023-02-25,Mesa Escritório,Móveis,Nordeste,Loja Física,3,1400,0.05,4200,3990.0
2023-07-07,Notebook,Eletrônicos,Norte,Marketplace,7,3500,0.0,24500,24500.0
2023-04-10,Cadeira Gamer,Móveis,Centro-Oeste,Marketplace,5,950,0.0,4750,4750.0
2023-08-19,Livro Técnico,Livros,Norte,Online,5,200,0.15,1000,850.0
2023-03-07,Mouse,Eletrônicos,Nordeste,Marketplace,7,120,0.05,840,798.0
2023-07-07,Teclado,Eletrônicos,Norte,Loja Física,4,250,0.15,1000,850.0
2023-09-14,Notebook,Eletrônicos,Sul,Marketplace,1,3500,0.0,3500,3500.0
2023-06-20,Armário,Móveis,Norte,Marketplace,8,1800,0.0,14400,14400.0
2023-03-13,Cadeira Gamer,Móveis,Centro-Oeste,Marketplace,6,950,0.0,5700,5700.0
2023-06-03,Curso Online,Educação,Norte,Marketplace,6,500,0.15,3000,2550.0
2023-09-08,Webcam,Eletrônicos,Sudeste,Loja Física,5,420,0.1,2100,1890.0
2023-06-19,Fone Bluetooth,Eletrônicos,Norte,Loja Física,2,350,0.1,700,630.0
2023-12-19,Fone Bluetooth,Eletrônicos,Centro-Oeste,Loja Física,1,350,0.15,350,297.5
2023-12-02,Curso Online,Educação,Norte,Loja Física,4,500,0.0,2000,2000.0
2023-03-29,Livro Técnico,Livros,Sul,Online,7,200,0.0,1400,1400.0
2023-10-21,Webcam,Eletrônicos,Sudeste,Loja Física,2,420,0.0,840,840.0
2023-06-10,Mesa Escritório,Móveis,Sul,Loja Física,3,1400,0.1,4200,3780.0
2023-09-14,Curso Online,Educação,Sul,Marketplace,8,500,0.0,4000,4000.0
2023-04-17,Livro Técnico,Livros,Norte,Loja Física,6,200,0.1,1200,1080.0
2023-06-10,Teclado,Eletrônicos,Nordeste,Marketplace,8,250,0.15,2000,1700.0
2023-07-01,Fone Bluetooth,Eletrônicos,Centro-Oeste,Online,5,350,0.15,1750,1487.5
2023-05-07,Smartphone,Eletrônicos,Nordeste,Loja Física,5,2800,0.0,14000,14000.0
2023-12-27,Monitor,Eletrônicos,Centro-Oeste,Loja Física,8,1100,0.05,8800,8360.0
2023-10-14,Webcam,Eletrônicos,Sudeste,Marketplace,5,420,0.05,2100,1995.0
2023-12-13,Livro Técnico,Livros,Nordeste,Online,7,200,0.1,1400,1260.0
2023-05-29,Notebook,Eletrônicos,Nordeste,Loja Física,5,3500,0.0,17500,17500.0
2023-12-02,Smartphone,Eletrônicos,Sul,Marketplace,8,2800,0.0,22400,22400.0
2023-05-19,Livro Técnico,Livros,Sudeste,Marketplace,5,200,0.0,1000,1000.0
2023-10-28,Monitor,Eletrônicos,Norte,Online,4,1100,0.0,4400,4400.0
2023-11-23,Monitor,Eletrônicos,Centro-Oeste,Loja Física,1,1100,0.0,1100,1100.0
2023-08-30,Mouse,Eletrônicos,Norte,Online,3,120,0.0,360,360.0
2023-07-28,Fone Bluetooth,Eletrônicos,Sul,Loja Física,8,350,0.1,2800,2520.0
2023-06-14,Smartphone,Eletrônicos,Norte,Online,1,2800,0.0,2800,2800.0
2023-10-01,Webcam,Eletrônicos,Centro-Oeste,Online,1,420,0.0,420,420.0
2023-01-19,Mesa Escritório,Móveis,Nordeste,Online,8,1400,0.0,11200,11200.0
2023-01-05,Smartphone,Eletrônicos,Nordeste,Loja Física,2,2800,0.05,5600,5320.0
2023-11-25,Livro Técnico,Livros,Norte,Loja Física,8,200,0.0,1600,1600.0
2023-05-20,Monitor,Eletrônicos,Sul,Marketplace,2,1100,0.05,2200,2090.0
2023-08-23,Fone Bluetooth,Eletrônicos,Sudeste,Marketplace,5,350,0.0,1750,1750.0
2023-06-22,Smartphone,Eletrônicos,Norte,Marketplace,4,2800,0.0,11200,11200.0
2023-07-27,Mesa Escritório,Móveis,Centro-Oeste,Marketplace,6,1400,0.0,8400,8400.0
2023-02-18,Teclado,Eletrônicos,Nordeste,Online,3,250,0.1,750,675.0
2023-01-04,Smartphone,Eletrônicos,Centro-Oeste,Loja Física,7,2800,0.0,19600,19600.0
2023-06-18,Smartphone,Eletrônicos,Nordeste,Marketplace,1,2800,0.05,2800,2660.0
2023-05-01,Notebook,Eletrônicos,Nordeste,Online,2,3500,0.1,7000,6300.0
2023-07-27,Fone Bluetooth,Eletrônicos,Nordeste,Loja Física,5,350,0.0,1750,1750.0
2023-11-11,Monitor,Eletrônicos,Centro-Oeste,Online,4,1100,0.0,4400,4400.0
2023-08-21,Webcam,Eletrônicos,Norte,Loja Física,6,420,0.1,2520,2268.0
2023-10-03,Fone Bluetooth,Eletrônicos,Norte,Online,4,350,0.0,1400,1400.0
2023-09-27,Armário,Móveis,Norte,Online,6,1800,0.0,10800,10800.0
2023-02-01,Livro Técnico,Livros,Norte,Online,4,200,0.15,800,680.0
2023-03-26,Cadeira Gamer,Móveis,Sul,Marketplace,8,950,0.0,7600,7600.0
2023-10-26,Armário,Móveis,Centro-Oeste,Online,2,1800,0.15,3600,3060.0
2023-08-21,Teclado,Eletrônicos,Norte,Online,7,250,0.1,1750,1575.0
2023-10-14,Armário,Móveis,Centro-Oeste,Loja Física,5,1800,0.0,9000,9000.0
2023-01-02,Webcam,Eletrônicos,Sudeste,Online,4,420,0.15,1680,1428.0
2023-08-05,Cadeira Gamer,Móveis,Sudeste,Online,2,950,0.15,1900,1615.0
2023-08-30,Notebook,Eletrônicos,Sul,Online,5,3500,0.1,17500,15750.0
2023-11-25,Webcam,Eletrônicos,Centro-Oeste,Loja Física,7,420,0.05,2940,2793.0
2023-07-13,Mesa Escritório,Móveis,Sul,Marketplace,2,1400,0.15,2800,2380.0
2023-06-28,Mouse,Eletrônicos,Centro-Oeste,Marketplace,3,120,0.15,360,306.0
2023-03-07,Webcam,Eletrônicos,Sudeste,Loja Física,4,420,0.0,1680,1680.0
2023-08-26,Fone Bluetooth,Eletrônicos,Centro-Oeste,Online,7,350,0.15,2450,2082.5
2023-05-07,Armário,Móveis,Nordeste,Online,6,1800,0.0,10800,10800.0
2023-02-27,Notebook,Eletrônicos,Sudeste,Online,7,3500,0.15,24500,20825.0
2023-04-16,Mouse,Eletrônicos,Sudeste,Loja Física,2,120,0.15,240,204.0
2023-11-03,Fone Bluetooth,Eletrônicos,Sudeste,Loja Física,1,350,0.0,350,350.0
2023-08-13,Monitor,Eletrônicos,Sul,Marketplace,4,1100,0.0,4400,4400.0
2023-05-29,Monitor,Eletrônicos,Norte,Marketplace,6,1100,0.15,6600,5610.0
2023-06-14,Monitor,Eletrônicos,Norte,Online,5,1100,0.0,5500,5500.0
2023-07-31,Smartphone,Eletrônicos,Norte,Marketplace,5,2800,0.0,14000,14000.0
2023-03-31,Fone Bluetooth,Eletrônicos,Centro-Oeste,Online,7,350,0.15,2450,2082.5
2023-06-26,Fone Bluetooth,Eletrônicos,Nordeste,Marketplace,7,350,0.15,2450,2082.5
2023-08-02,Mesa Escritório,Móveis,Centro-Oeste,Online,3,1400,0.05,4200,3990.0
2023-10-03,Armário,Móveis,Nordeste,Marketplace,4,1800,0.0,7200,7200.0
2023-03-15,Armário,Móveis,Centro-Oeste,Loja Física,1,1800,0.15,1800,1530.0
2023-10-13,Livro Técnico,Livros,Sul,Loja Física,3,200,0.1,600,540.0
2023-04-15,Cadeira Gamer,Móveis,Nordeste,Online,2,950,0.1,1900,1710.0
2023-10-02,Webcam,Eletrônicos,Nordeste,Loja Física,4,420,0.0,1680,1680.0
2023-12-11,Curso Online,Educação,Sul,Marketplace,1,500,0.0,500,500.0
2023-12-10,Livro Técnico,Livros,Sul,Loja Física,4,200,0.1,800,720.0
2023-06-05,Notebook,Eletrônicos,Sudeste,Marketplace,4,3500,0.0,14000,14000.0
2023-09-03,Monitor,Eletrônicos,Sul,Marketplace,4,1100,0.1,4400,3960.0
2023-06-14,Smartphone,Eletrônicos,Norte,Marketplace,7,2800,0.1,19600,17640.0
2023-07-03,Smartphone,Eletrônicos,Norte,Loja Física,5,2800,0.05,14000,13300.0
2023-08-27,Mouse,Eletrônicos,Sul,Loja Física,8,120,0.05,960,912.0
2023-06-10,Mesa Escritório,Móveis,Sul,Marketplace,1,1400,0.15,1400,1190.0
2023-03-16,Notebook,Eletrônicos,Norte,Marketplace,5,3500,0.15,17500,14875.0
2023-08-02,Smartphone,Eletrônicos,Nordeste,Online,3,2800,0.0,8400,8400.0
2023-07-14,Curso Online,Educação,Norte,Marketplace,4,500,0.1,2000,1800.0
2023-12-17,Cadeira Gamer,Móveis,Centro-Oeste,Loja Física,5,950,0.1,4750,4275.0
2023-03-28,Webcam,Eletrônicos,Sul,Marketplace,6,420,0.0,2520,2520.0
2023-10-07,Armário,Móveis,Sudeste,Marketplace,3,1800,0.15,5400,4590.0
2023-01-18,Mouse,Eletrônicos,Centro-Oeste,Online,1,120,0.0,120,120.0
2023-11-19,Monitor,Eletrônicos,Sudeste,Online,2,1100,0.0,2200,2200.0
2023-09-16,Armário,Móveis,Norte,Marketplace,6,1800,0.0,10800,10800.0
2023-12-08,Curso Online,Educação,Sudeste,Online,8,500,0.1,4000,3600.0
2023-09-30,Livro Técnico,Livros,Sudeste,Marketplace,7,200,0.0,1400,1400.0
2023-05-21,Livro Técnico,Livros,Norte,Marketplace,5,200,0.0,1000,1000.0
2023-12-12,Mesa Escritório,Móveis,Sudeste,Marketplace,3,1400,0.0,4200,4200.0
2023-03-18,Monitor,Eletrônicos,Norte,Loja Física,4,1100,0.15,4400,3740.0
2023-07-01,Smartphone,Eletrônicos,Nordeste,Loja Física,7,2800,0.0,19600,19600.0
2023-08-24,Curso Online,Educação,Nordeste,Marketplace,4,500,0.0,2000,2000.0
2023-02-11,Fone Bluetooth,Eletrônicos,Centro-Oeste,Loja Física,1,350,0.0,350,350.0
2023-07-13,Livro Técnico,Livros,Sudeste,Marketplace,8,200,0.0,1600,1600.0
2023-03-29,Mouse,Eletrônicos,Nordeste,Marketplace,8,120,0.1,960,864.0
2023-02-18,Livro Técnico,Livros,Sul,Marketplace,1,200,0.0,200,200.0
2023-10-18,Armário,Móveis,Sudeste,Marketplace,5,1800,0.0,9000,9000.0
2023-05-24,Livro Técnico,Livros,Nordeste,Online,1,200,0.0,200,200.0
2023-04-17,Curso Online,Educação,Sudeste,Loja Física,3,500,0.1,1500,1350.0
2023-03-25,Curso Online,Educação,Centro-Oeste,Marketplace,4,500,0.15,2000,1700.0
2023-10-04,Cadeira Gamer,Móveis,Sudeste,Marketplace,7,950,0.0,6650,6650.0
2023-06-27,Notebook,Eletrônicos,Sul,Online,2,3500,0.1,7000,6300.0
2023-06-24,Curso Online,Educação,Sudeste,Marketplace,7,500,0.05,3500,3325.0
2023-05-20,Armário,Móveis,Nordeste,Marketplace,8,1800,0.0,14400,14400.0
2023-07-12,Mesa Escritório,Móveis,Centro-Oeste,Online,3,1400,0.15,4200,3570.0
2023-11-13,Smartphone,Eletrônicos,Sudeste,Loja Física,4,2800,0.0,11200,11200.0
2023-03-20,Mesa Escritório,Móveis,Nordeste,Loja Física,3,1400,0.1,4200,3780.0
2023-02-24,Mouse,Eletrônicos,Centro-Oeste,Loja Física,1,120,0.05,120,114.0
2023-05-19,Mouse,Eletrônicos,Sul,Loja Física,3,120,0.0,360,360.0
2023-08-18,Livro Técnico,Livros,Sudeste,Online,7,200,0.0,1400,1400.0
2023-07-01,Livro Técnico,Livros,Norte,Loja Física,2,200,0.15,400,340.0
2023-07-17,Notebook,Eletrônicos,Centro-Oeste,Online,5,3500,0.1,17500,15750.0
2023-10-14,Monitor,Eletrônicos,Sul,Online,3,1100,0.1,3300,2970.0
2023-05-18,Smartphone,Eletrônicos,Sul,Online,5,2800,0.1,14000,12600.0
2023-03-27,Mesa Escritório,Móveis,Nordeste,Loja Física,5,1400,0.1,7000,6300.0
2023-02-09,Cadeira Gamer,Móveis,Centro-Oeste,Marketplace,5,950,0.0,4750,4750.0
2023-11-12,Monitor,Eletrônicos,Sul,Loja Física,8,1100,0.0,8800,8800.0
2023-01-04,Mesa Escritório,Móveis,Centro-Oeste,Loja Física,6,1400,0.15,8400,7140.0
2023-08-14,Cadeira Gamer,Móveis,Sul,Loja Física,7,950,0.15,6650,5652.5
2023-06-14,Curso Online,Educação,Nordeste,Online,4,500,0.1,2000,1800.0
2023-07-23,Cadeira Gamer,Móveis,Norte,Online,5,950,0.1,4750,4275.0
2023-06-16,Mesa Escritório,Móveis,Nordeste,Online,5,1400,0.1,7000,6300.0
2023-10-16,Monitor,Eletrônicos,Sudeste,Marketplace,3,1100,0.15,3300,2805.0
2023-08-25,Webcam,Eletrônicos,Nordeste,Marketplace,4,420,0.1,1680,1512.0
2023-02-05,Mesa Escritório,Móveis,Nordeste,Online,8,1400,0.0,11200,11200.0
2023-05-10,Fone Bluetooth,Eletrônicos,Centro-Oeste,Online,3,350,0.1,1050,945.0
2023-08-18,Curso Online,Educação,Centro-Oeste,Marketplace,8,500,0.15,4000,3400.0
2023-09-17,Webcam,Eletrônicos,Sudeste,Loja Física,7,420,0.15,2940,2499.0
2023-12-26,Livro Técnico,Livros,Sul,Marketplace,2,200,0.0,400,400.0
2023-12-07,Cadeira Gamer,Móveis,Sudeste,Marketplace,3,950,0.15,2850,2422.5
2023-11-27,Fone Bluetooth,Eletrônicos,Centro-Oeste,Online,7,350,0.05,2450,2327.5
2023-01-06,Mouse,Eletrônicos,Norte,Marketplace,5,120,0.0,600,600.0
2023-09-23,Livro Técnico,Livros,Nordeste,Loja Física,4,200,0.1,800,720.0
2023-08-26,Fone Bluetooth,Eletrônicos,Sudeste,Loja Física,3,350,0.05,1050,997.5
2023-02-23,Smartphone,Eletrônicos,Sudeste,Marketplace,7,2800,0.0,19600,19600.0
2023-03-14,Cadeira Gamer,Móveis,Centro-Oeste,Online,5,950,0.05,4750,4512.5
2023-09-24,Armário,Móveis,Sudeste,Loja Física,6,1800,0.1,10800,9720.0
2023-12-23,Armário,Móveis,Nordeste,Online,6,1800,0.0,10800,10800.0
2023-12-30,Mouse,Eletrônicos,Sudeste,Marketplace,1,120,0.05,120,114.0
2023-03-26,Webcam,Eletrônicos,Sul,Marketplace,4,420,0.15,1680,1428.0
2023-03-23,Cadeira Gamer,Móveis,Sul,Loja Física,7,950,0.1,6650,5985.0
2023-11-19,Teclado,Eletrônicos,Centro-Oeste,Online,3,250,0.1,750,675.0
2023-11-11,Monitor,Eletrônicos,Centro-Oeste,Loja Física,8,1100,0.15,8800,7480.0
2023-01-03,Webcam,Eletrônicos,Nordeste,Marketplace,4,420,0.0,1680,1680.0
2023-02-02,Curso Online,Educação,Sul,Loja Física,2,500,0.15,1000,850.0
2023-06-16,Monitor,Eletrônicos,Nordeste,Marketplace,8,1100,0.0,8800,8800.0
2023-09-08,Livro Técnico,Livros,Centro-Oeste,Marketplace,6,200,0.15,1200,1020.0
2023-07-20,Curso Online,Educação,Nordeste,Loja Física,2,500,0.05,1000,950.0
2023-11-13,Teclado,Eletrônicos,Norte,Online,5,250,0.15,1250,1062.5
2023-12-11,Teclado,Eletrônicos,Sul,Loja Física,6,250,0.0,1500,1500.0
2023-03-01,Teclado,Eletrônicos,Norte,Loja Física,6,250,0.0,1500,1500.0
2023-08-03,Curso Online,Educação,Centro-Oeste,Loja Física,3,500,0.15,1500,1275.0
2023-04-06,Armário,Móveis,Sul,Loja Física,3,1800,0.15,5400,4590.0
2023-05-28,Teclado,Eletrônicos,Centro-Oeste,Marketplace,3,250,0.05,750,712.5
2023-01-28,Cadeira Gamer,Móveis,Sul,Online,1,950,0.1,950,855.0
2023-07-16,Livro Técnico,Livros,Centro-Oeste,Loja Física,8,200,0.1,1600,1440.0
2023-12-30,Armário,Móveis,Sudeste,Marketplace,8,1800,0.0,14400,14400.0
2023-01-16,Monitor,Eletrônicos,Nordeste,Online,5,1100,0.0,5500,5500.0
2023-10-03,Smartphone,Eletrônicos,Norte,Marketplace,3,2800,0.1,8400,7560.0
2023-09-11,Livro Técnico,Livros,Sudeste,Loja Física,2,200,0.15,400,340.0
2023-10-06,Cadeira Gamer,Móveis,Norte,Online,1,950,0.1,950,855.0
2023-08-06,Mouse,Eletrônicos,Sudeste,Loja Física,4,120,0.05,480,456.0
2023-05-15,Cadeira Gamer,Móveis,Sudeste,Online,2,950,0.1,1900,1710.0
2023-04-18,Webcam,Eletrônicos,Centro-Oeste,Online,6,420,0.15,2520,2142.0
2023-11-12,Teclado,Eletrônicos,Sudeste,Marketplace,4,250,0.0,1000,1000.0
2023-06-29,Livro Técnico,Livros,Norte,Online,5,200,0.15,1000,850.0
2023-06-15,Webcam,Eletrônicos,Norte,Loja Física,5,420,0.05,2100,1995.0
2023-09-21,Fone Bluetooth,Eletrônicos,Centro-Oeste,Online,2,350,0.0,700,700.0
2023-05-22,Fone Bluetooth,Eletrônicos,Sul,Online,3,350,0.0,1050,1050.0
2023-12-31,Cadeira Gamer,Móveis,Centro-Oeste,Online,4,950,0.1,3800,3420.0
2023-10-23,Fone Bluetooth,Eletrônicos,Centro-Oeste,Loja Física,5,350,0.1,1750,1575.0
2023-02-08,Fone Bluetooth,Eletrônicos,Norte,Marketplace,2,350,0.1,700,630.0
2023-05-23,Webcam,Eletrônicos,Centro-Oeste,Loja Física,6,420,0.1,2520,2268.0
2023-10-25,Notebook,Eletrônicos,Nordeste,Online,2,3500,0.1,7000,6300.0
2023-10-01,Mesa Escritório,Móveis,Sul,Loja Física,4,1400,0.1,5600,5040.0
2023-05-18,Cadeira Gamer,Móveis,Norte,Marketplace,5,950,0.05,4750,4512.5
2023-03-08,Curso Online,Educação,Sudeste,Online,8,500,0.05,4000,3800.0
2023-02-20,Fone Bluetooth,Eletrônicos,Sudeste,Online,8,350,0.0,2800,2800.0
2023-08-14,Armário,Móveis,Sul,Marketplace,1,1800,0.1,1800,1620.0
2023-03-09,Fone Bluetooth,Eletrônicos,Nordeste,Online,5,350,0.0,1750,1750.0
2023-12-02,Cadeira Gamer,Móveis,Nordeste,Marketplace,5,950,0.0,4750,4750.0
2023-11-29,Teclado,Eletrônicos,Nordeste,Marketplace,1,250,0.1,250,225.0
2023-12-25,Monitor,Eletrônicos,Sudeste,Online,7,1100,0.0,7700,7700.0
2023-04-20,Armário,Móveis,Norte,Online,2,1800,0.0,3600,3600.0
2023-09-23,Fone Bluetooth,Eletrônicos,Sudeste,Marketplace,8,350,0.0,2800,2800.0
2023-06-25,Mouse,Eletrônicos,Centro-Oeste,Online,7,120,0.0,840,840.0
2023-04-28,Mesa Escritório,Móveis,Sudeste,Loja Física,2,1400,0.0,2800,2800.0
2023-07-08,Smartphone,Eletrônicos,Sul,Marketplace,3,2800,0.1,8400,7560.0
2023-12-13,Teclado,Eletrônicos,Norte,Online,2,250,0.15,500,425.0
2023-11-09,Fone Bluetooth,Eletrônicos,Nordeste,Marketplace,3,350,0.1,1050,945.0
2023-04-20,Fone Bluetooth,Eletrônicos,Norte,Marketplace,3,350,0.1,1050,945.0
2023-08-15,Monitor,Eletrônicos,Sul,Online,2,1100,0.0,2200,2200.0
2023-10-29,Webcam,Eletrônicos,Centro-Oeste,Loja Física,7,420,0.05,2940,2793.0
2023-03-13,Monitor,Eletrônicos,Sul,Marketplace,5,1100,0.0,5500,5500.0
2023-11-04,Curso Online,Educação,Nordeste,Online,5,500,0.0,2500,2500.0
2023-09-23,Curso Online,Educação,Nordeste,Marketplace,4,500,0.1,2000,1800.0
2023-01-28,Monitor,Eletrônicos,Sudeste,Online,8,1100,0.1,8800,7920.0
2023-09-13,Fone Bluetooth,Eletrônicos,Sudeste,Loja Física,2,350,0.15,700,595.0
2023-06-12,Teclado,Eletrônicos,Centro-Oeste,Loja Física,7,250,0.15,1750,1487.5
2023-10-07,Fone Bluetooth,Eletrônicos,Sudeste,Online,3,350,0.1,1050,945.0
2023-10-28,Mouse,Eletrônicos,Sul,Online,1,120,0.05,120,114.0
2023-01-31,Mesa Escritório,Móveis,Centro-Oeste,Loja Física,5,1400,0.15,7000,5950.0
2023-12-26,Mesa Escritório,Móveis,Norte,Marketplace,2,1400,0.15,2800,2380.0
2023-03-20,Smartphone,Eletrônicos,Sudeste,Marketplace,2,2800,0.05,5600,5320.0
2023-04-15,Teclado,Eletrônicos,Norte,Marketplace,6,250,0.1,1500,1350.0
2023-11-29,Fone Bluetooth,Eletrônicos,Centro-Oeste,Marketplace,2,350,0.05,700,665.0
2023-05-03,Notebook,Eletrônicos,Centro-Oeste,Online,4,3500,0.0,14000,14000.0
2023-08-21,Curso Online,Educação,Sul,Online,1,500,0.05,500,475.0
2023-01-07,Webcam,Eletrônicos,Sul,Loja Física,3,420,0.0,1260,1260.0
2023-06-27,Livro Técnico,Livros,Nordeste,Online,5,200,0.0,1000,1000.0
2023-05-18,Webcam,Eletrônicos,Nordeste,Loja Física,2,420,0.0,840,840.0
2023-05-20,Livro Técnico,Livros,Norte,Marketplace,2,200,0.05,400,380.0
2023-02-09,Armário,Móveis,Nordeste,Online,8,1800,0.15,14400,12240.0
2023-09-13,Curso Online,Educação,Sul,Loja Física,3,500,0.05,1500,1425.0
2023-02-22,Curso Online,Educação,Norte,Online,2,500,0.0,1000,1000.0
2023-01-23,Notebook,Eletrônicos,Centro-Oeste,Loja Física,4,3500,0.0,14000,14000.0
2023-07-16,Teclado,Eletrônicos,Norte,Marketplace,3,250,0.0,750,750.0
2023-12-02,Mesa Escritório,Móveis,Sul,Loja Física,4,1400,0.05,5600,5320.0
2023-06-13,Smartphone,Eletrônicos,Nordeste,Online,2,2800,0.15,5600,4760.0
2023-09-15,Fone Bluetooth,Eletrônicos,Sul,Marketplace,1,350,0.0,350,350.0
2023-01-24,Mesa Escritório,Móveis,Nordeste,Loja Física,2,1400,0.1,2800,2520.0
2023-06-17,Mouse,Eletrônicos,Nordeste,Online,8,120,0.0,960,960.0
2023-05-30,Curso Online,Educação,Sul,Loja Física,5,500,0.15,2500,2125.0
2023-07-08,Curso Online,Educação,Norte,Online,8,500,0.0,4000,4000.0
2023-03-19,Notebook,Eletrônicos,Sul,Marketplace,7,3500,0.0,24500,24500.0
